id,title,artist,duration,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,danceability,
54X78diSLoUDI3joC2bjMz,Purple Rain,Prince,520787.0,0.03530000150203705,0.4519999921321869,0.0022799998987466097,0.6890000104904175,-10.42199993133545,0.030700000002980232,0.1889999955892563,0.367000013589859,
7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,Queen,354320.0,0.2540000081062317,0.3959999978542328,0.0,0.2680000066757202,-9.90999984741211,0.05000000074505806,0.22699999809265137,0.3970000147819519,
7Jh1bpe76CNTCgdgAdBw4Z,"Heroes" - 2017 Remastered Version,David Bowie,371413.0,6.709999870508909E-4,0.7580000162124634,0.48399999737739563,0.09200000017881393,-6.491000175476074,0.02969999983906746,0.4350000023841858,0.49000000953674316,
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered,John Lennon,187867.0,0.9070000052452087,0.25699999928474426,0.18299999833106995,0.09350000321865082,-12.357999801635742,0.025200000032782555,0.16899999976158142,0.546999990940094,
0hKRSZhUGEhKU6aNSPBACZ,A Day In The Life - Remastered 2009,The Beatles,337413.0,0.28999999165534973,0.4569999873638153,1.0599999950500205E-4,0.921999990940094,-14.161999702453613,0.06750000268220901,0.17499999701976776,0.36399999260902405,
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,301920.0,2.8599999495781958E-5,0.906000018119812,1.0099999781232327E-4,0.10499999672174454,-4.525000095367432,0.0658000037074089,0.7279999852180481,0.515999972820282,
3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,Bob Dylan,369600.0,0.7289999723434448,0.7210000157356262,0.0,0.1889999955892563,-6.835999965667725,0.03200000151991844,0.5619999766349792,0.4830000102519989,
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,334744.0,0.7350000143051147,0.2619999945163727,0.01140000019222498,0.8320000171661377,-15.729999542236328,0.0414000004529953,0.375,0.48100000619888306,
6Vcwr9tb3ZLO63F8DL8cqu,Tangled up in Blue,Bob Dylan,341627.0,0.414000004529953,0.6610000133514404,1.160000010713702E-6,0.09619999676942825,-13.12600040435791,0.043299999088048935,0.5540000200271606,0.42100000381469727,
5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,Led Zeppelin,482830.0,0.5799999833106995,0.3400000035762787,0.0031999999191612005,0.11599999666213989,-12.048999786376953,0.033900000154972076,0.19699999690055847,0.33799999952316284,
7mMMywPtAdNfJz9iQtOSwk,Under Pressure,Queen David Bowie,236733.0,0.38199999928474426,0.5270000100135803,0.0,0.08879999816417694,-12.652999877929688,0.05310000106692314,0.44600000977516174,0.6669999957084656,
51H2y6YrNNXcy3dfc3qSbA,When Doves Cry,Prince,352906.0,0.010200000368058681,0.9890000224113464,4.450000051292591E-5,0.4429999887943268,-4.61299991607666,0.04899999871850014,0.8399999737739563,0.7289999723434448,
6iGU74CwXuT4XVepjc9Emf,God Only Knows - Remastered,The Beach Boys,173040.0,0.2529999911785126,0.4869999885559082,0.0,0.05790000036358833,-7.525000095367432,0.029899999499320984,0.4830000102519989,0.5210000276565552,
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,The Rolling Stones,270773.0,0.44699999690055847,0.6299999952316284,0.039000000804662704,0.17000000178813934,-8.277000427246094,0.03099999949336052,0.48899999260902405,0.6340000033378601,
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,250547.0,5.959999907645397E-5,0.8820000290870667,3.100000030826777E-4,0.08049999922513962,-5.539999961853027,0.03689999878406525,0.35600000619888306,0.41200000047683716,
